ayant-droits,chemin,droits
['LachauxF'],/Bonlieu/Photos Travail/année 2010,RWCEMF
['PougetF'],/Bonlieu/Photos Travail/année 2010,RWCEMF
['Communic'],/Communication/COMMUN,RWCEMF
['MauboussinB'],/Communication/COMMUN,RWCEMF
['Funeraire'],/Etat-Civil/Affaires funéraires/Funeraires,RWCEMF
['HollingueD'],/Etat-Civil/Affaires funéraires/Funeraires,RWCEMF
['Everybody'],/OpenOffice/Galerie,RF
['Jardins'],/OpenOffice/Modeles,RF
['Sapa'],/OpenOffice/Modeles,RF
['Voirie'],/OpenOffice/Modeles,RF
['Everybody'],/OpenOffice/Services,RF
['Archivistes'],/SIGDU/Données Géographiques de Référence/PLANS_ANCIENS,RF
['PGV-Autorises'],/SIGDU/RGF93_CC46,RF
['PGV-Autorises'],/SIGDU/TOPO_FONCIER/PGV_1996_2008 LII/PGV500_2008,RWCEMF
['PGV-Autorises'],/SIGDU/TOPO_FONCIER/PGV_1996_2008 LII/PGV500_1996,RWCEMF
['Sapa-Admin'],/Sapa/Business Objects,RWCEMF
['Sapa-Admin'],/Sapa/Requetes BO,RWCEMF
['Jardins'],/jardins/COMMUN,RWCEMF
['Jardins'],/jardins/Anciens agents,RWCEMF
['Groupement'],/groupeme/COMMUN,RWCEMF
['DAU-DLU'],/SIGDU/3D_TERRITOIRE_ANNECY,RF
['Video'],/SIGDU/3D_TERRITOIRE_ANNECY,RWCEMF
['StemmelinL'],/SIGDU/3D_TERRITOIRE_ANNECY,RF
['BenchetritI'],/Sapa/Ritz_Animation/Animation Isa,RWCEMF
['Sapa'],/Sapa/Commun SAPA/ANIMATION/APPRENTIS et CONTRATS AIDES/Dossier CHAPUIS Laurence,
['Everybody'],/Sapa/Commun SAPA/ANIMATION/APPRENTIS et CONTRATS AIDES/Dossier CHAPUIS Laurence,
['ChapuisL'],/Sapa/Commun SAPA/ANIMATION/APPRENTIS et CONTRATS AIDES/Dossier CHAPUIS Laurence,RWCEMF
['1-BatPhotoRestrein'],/Batiment/Photothèque Bâtiments &amp;  PLANS,RF
['1-BatPhototout'],/Batiment/Photothèque Bâtiments &amp;  PLANS,RWCEMF
['Batiment-Etudes'],/Batiment/Photothèque Bâtiments &amp;  PLANS,RWCEMF
